user_id,age,income,category,signup_date,is_active,score,new_feature
1,28,38204.31,B,2023-01-01 00:00:00,False,37.13834413975049,Z
2,53,84166.89,B,2023-01-01 01:00:00,False,38.536791198408324,X
3,45,92123.96,D,2023-01-01 02:00:00,True,52.90839492761491,Z
4,23,32871.84,D,2023-01-01 03:00:00,False,58.185501568295976,X
5,35,79613.5,B,2023-01-01 04:00:00,False,65.34749394708426,Y
6,61,19514.25,B,2023-01-01 05:00:00,False,55.29175736863643,X
7,18,53018.95,D,2023-01-01 06:00:00,False,55.048357537112985,Z
8,36,30316.61,E,2023-01-01 07:00:00,False,59.48896746685054,X
9,57,36878.37,C,2023-01-01 08:00:00,False,39.26819721094499,Y
10,31,27843.47,B,2023-01-01 09:00:00,False,17.243933131525083,Y
11,33,83464.43,D,2023-01-01 10:00:00,False,38.76880670252645,Z
12,40,83476.85,B,2023-01-01 11:00:00,True,46.240695514558034,Z
13,59,39548.37,E,2023-01-01 12:00:00,True,40.268255417622285,Y
14,34,75007.95,B,2023-01-01 13:00:00,True,34.51547642023551,Y
15,36,70035.92,E,2023-01-01 14:00:00,False,74.126662093318,Y
16,36,55432.92,B,2023-01-01 15:00:00,True,40.04127758799279,X
17,68,218578.85,D,2023-01-01 16:00:00,False,48.38645845666888,X
18,68,36151.47,B,2023-01-01 17:00:00,True,65.35490670672746,Y
19,54,60390.26,C,2023-01-01 18:00:00,True,62.90831513080703,X
20,46,47599.04,C,2023-01-01 19:00:00,False,41.89326073847895,X
21,50,47902.93,B,2023-01-01 20:00:00,True,39.00646673913699,X
22,59,65883.76,D,2023-01-01 21:00:00,False,53.79209734719344,X
23,30,50179.54,E,2023-01-01 22:00:00,False,42.52887003318526,X
24,56,35729.93,D,2023-01-01 23:00:00,True,52.643766422660605,X
25,26,64507.48,E,2023-01-02 00:00:00,True,39.490306748870196,X
26,34,121710.31,D,2023-01-02 01:00:00,True,62.48447152000949,X
27,52,105414.96,A,2023-01-02 02:00:00,True,29.56370051665385,Y
28,24,67631.34,D,2023-01-02 03:00:00,True,51.15666077423007,X
29,40,38513.42,A,2023-01-02 04:00:00,True,60.24575111727754,Y
30,31,66960.47,A,2023-01-02 05:00:00,False,60.27076237248839,X
31,38,114781.52,E,2023-01-02 06:00:00,True,98.52098064696146,Z
32,18,122358.87,C,2023-01-02 07:00:00,True,50.87150705534113,Y
33,20,74295.99,A,2023-01-02 08:00:00,False,57.59463482681254,Z
34,33,48116.75,C,2023-01-02 09:00:00,False,53.3247946517365,X
35,53,53015.96,B,2023-01-02 10:00:00,False,89.29362800252292,Z
36,39,95151.68,A,2023-01-02 11:00:00,False,73.13236970991997,X
37,42,90382.66,D,2023-01-02 12:00:00,False,89.76639423254926,Y
38,50,20855.65,A,2023-01-02 13:00:00,False,44.642584174108194,X
39,31,88891.39,E,2023-01-02 14:00:00,True,57.97701288951972,X
40,45,91745.43,D,2023-01-02 15:00:00,False,55.92232038690274,Y
41,32,35160.73,D,2023-01-02 16:00:00,False,34.2718487667311,Z
42,21,37835.81,B,2023-01-02 17:00:00,True,61.190432349152935,X
43,37,38013.69,D,2023-01-02 18:00:00,True,37.2087522459934,Y
44,48,39808.76,A,2023-01-02 19:00:00,True,73.97085509320863,Z
45,46,25589.83,C,2023-01-02 20:00:00,False,51.236305177903944,Y
46,41,72247.66,B,2023-01-02 21:00:00,False,27.62617213029028,Y
47,70,37367.94,E,2023-01-02 22:00:00,False,44.924729638327236,Y
48,46,57398.28,D,2023-01-02 23:00:00,True,55.84619810874375,Y
49,53,44420.61,C,2023-01-03 00:00:00,False,86.4301662101673,Z
50,68,69780.27,C,2023-01-03 01:00:00,True,70.6159699570272,X
51,26,32650.97,A,2023-01-03 02:00:00,False,56.66777957924539,Z
52,29,69366.49,B,2023-01-03 03:00:00,False,70.7703541933677,Y
53,62,75649.69,D,2023-01-03 04:00:00,False,58.09255479150336,X
54,32,98376.45,A,2023-01-03 05:00:00,False,38.982662459064045,Z
55,42,194981.79,D,2023-01-03 06:00:00,True,62.43460005935241,X
56,54,17064.22,E,2023-01-03 07:00:00,True,70.48562040904925,X
57,52,72561.42,A,2023-01-03 08:00:00,False,100.0,Y
58,63,39124.43,C,2023-01-03 09:00:00,True,60.337929012795875,X
59,59,18863.14,C,2023-01-03 10:00:00,False,46.32682947629813,Z
60,54,99208.44,E,2023-01-03 11:00:00,True,71.75415729749338,X
61,32,133161.76,A,2023-01-03 12:00:00,False,67.41723992712517,X
62,51,47335.86,B,2023-01-03 13:00:00,True,83.46279281296236,X
63,45,67951.52,E,2023-01-03 14:00:00,False,68.50660831129532,Z
64,26,57615.91,C,2023-01-03 15:00:00,True,24.22957995631298,X
65,59,77692.86,A,2023-01-03 16:00:00,False,53.90515007227948,Y
66,51,101551.51,E,2023-01-03 17:00:00,False,78.1943399259174,X
67,42,73641.38,E,2023-01-03 18:00:00,True,85.77625165233543,X
68,39,73678.18,D,2023-01-03 19:00:00,True,40.03598955235473,Y
69,27,127496.21,E,2023-01-03 20:00:00,True,51.111564959182196,Y
70,44,54241.56,E,2023-01-03 21:00:00,True,66.79303600903282,Y
71,47,104176.18,A,2023-01-03 22:00:00,True,47.63961313773894,Z
72,32,36563.28,B,2023-01-03 23:00:00,False,50.369147994316904,X
73,55,157039.24,C,2023-01-04 00:00:00,True,71.38303517988489,Z
74,28,93217.92,D,2023-01-04 01:00:00,True,73.25435716168242,X
75,18,46992.55,C,2023-01-04 02:00:00,False,75.55814385076415,X
76,54,16835.94,C,2023-01-04 03:00:00,True,64.08602004736062,Y
77,37,59862.98,A,2023-01-04 04:00:00,False,36.83193268013851,Y
78,40,29463.7,B,2023-01-04 05:00:00,False,52.53092956697418,X
79,31,71666.65,A,2023-01-04 06:00:00,True,37.26487609250646,X
80,22,143014.5,D,2023-01-04 07:00:00,True,45.85539648202445,Y
81,57,65909.37,A,2023-01-04 08:00:00,True,65.35405576410746,X
82,33,53808.81,B,2023-01-04 09:00:00,True,57.98593157508958,X
83,61,73520.77,C,2023-01-04 10:00:00,True,94.7806876522398,X
84,51,71067.83,D,2023-01-04 11:00:00,False,59.74432649668029,Z
85,38,14505.48,D,2023-01-04 12:00:00,False,62.363300147207795,Y
86,28,69186.57,D,2023-01-04 13:00:00,False,54.5034772537477,X
87,33,86869.86,C,2023-01-04 14:00:00,True,68.88307994028595,X
88,27,51246.11,C,2023-01-04 15:00:00,True,84.99373842687339,X
89,67,107703.29,E,2023-01-04 16:00:00,True,58.05469496684937,X
